UniProtID,mean_Case,mean_Control,log2foldchange,p_value,t_value,,,,
P22352,13.47422297,13.72737226,-0.253149289,0.000148932,-3.931590883,,,,
P43652,18.02887099,18.28309096,-0.254219971,0.000298486,-3.742549962,,,,Proteins that overlap with Boruta Feature Selection Top proteins have been highlighted in colour blue. 
P60660,17.34027892,16.91253339,0.427745532,0.00055074,3.563983842,,,,
P37802,12.20524944,12.36357232,-0.158322879,0.001806522,-3.21120439,,,,
P62937,13.5354571,13.10536927,0.430087829,0.002596248,3.155317905,,,,
P02549,14.14647312,13.81763615,0.328836968,0.002791226,3.140924876,,,,
P20851,14.73035388,14.91708658,-0.186732697,0.004301487,-2.913353245,,,,
Q96IY4,14.59490618,14.7320639,-0.137157722,0.004897871,-2.867795643,,,,
P43251,14.36519573,14.5267142,-0.161518471,0.004940428,-2.867460552,,,,
P08697,17.76709341,17.90962755,-0.142534148,0.004947481,-2.862926322,,,,
P62701,13.66982872,13.81662972,-0.146800995,0.005057865,-2.86323328,,,,
P02790,22.2931611,22.46115253,-0.167991424,0.005388363,-2.836637084,,,,
A5YKK6,13.30480547,14.26384775,-0.959042284,0.005471007,-3.046285015,,,,
Q15746,15.76022988,15.91083976,-0.150609881,0.005526456,-2.854816115,,,,
P04217,20.46833404,20.65648005,-0.188146014,0.00679611,-2.759318679,,,,
Q9NPY3,10.84396595,10.61321,0.230755948,0.00774604,2.770214243,,,,
P29622,15.80945718,15.97059074,-0.161133558,0.008703586,-2.673660426,,,,
P23396,10.81738728,9.769731622,1.047655659,0.00913675,2.651128281,,,,
P02745,15.25684557,15.44420259,-0.187357015,0.009686479,-2.632108714,,,,
P13929,15.86155897,16.06162791,-0.200068939,0.009941832,-2.655131588,,,,
P60174,16.18948489,16.42813078,-0.238645897,0.010120826,-2.639557502,,,,
P42765,12.24919025,12.4029587,-0.153768453,0.010902652,-2.601365641,,,,
Q99459,19.44180367,19.70736586,-0.265562185,0.01096794,-2.597527433,,,,
P04196,18.59297825,18.78340796,-0.190429709,0.011566824,-2.571386783,,,,
Q86VP6,16.30461245,16.59896173,-0.294349282,0.011864114,-2.663080053,,,,
P00492,14.96134759,15.26300451,-0.301656927,0.011896774,-2.629677651,,,,
P13473,7.680915061,7.919205968,-0.238290907,0.012991905,-2.517075951,,,,
P11766,17.37415787,17.71587732,-0.341719449,0.014141059,-2.535842581,,,,
P09871,15.43688542,15.56747823,-0.130592813,0.014270673,-2.48700529,,,,
Q13884,16.24155298,16.45695835,-0.21540537,0.016658057,-2.4725786,,,,
P00736,14.34851427,14.49089065,-0.142376373,0.017064201,-2.423016425,,,,
P02765,18.73895196,18.92874646,-0.189794498,0.017655075,-2.412972508,,,,
P20700,14.73940245,15.14154202,-0.402139573,0.018004345,-2.401745146,,,,
Q9Y624,11.86372222,12.03604949,-0.172327267,0.019020762,-2.409868235,,,,
Q99969,10.89173634,10.57764504,0.314091297,0.019785325,2.428708435,,,,
P27169,16.35787698,16.55016307,-0.192286088,0.0205756,-2.351408968,,,,
Q14103,8.638630428,7.911472014,0.727158414,0.021261081,2.361263112,,,,
Q99784,10.78920812,10.64265455,0.14655357,0.02149642,2.344739836,,,,
P49908,12.20045513,12.40097706,-0.200521928,0.021528565,-2.334254566,,,,
P02747,16.37353187,16.53645773,-0.162925859,0.02358241,-2.294013121,,,,
P13598,11.69161187,12.15392587,-0.462314001,0.023899754,-2.316686359,,,,
Q02809,12.20387549,12.41325669,-0.2093812,0.024511086,-2.301691302,,,,
Q99683,18.31969285,18.52815918,-0.208466328,0.025346327,-2.277687101,,,,
P13671,15.52806933,15.65842751,-0.130358178,0.026820552,-2.248576487,,,,
P01031,17.57097966,17.68883354,-0.117853878,0.026831426,-2.241489959,,,,
P24821,14.33460437,14.50138305,-0.166778676,0.027463785,-2.243255497,,,,
P20774,10.08819142,9.927796245,0.16039518,0.030880631,2.197630149,,,,
P00918,7.021938717,5.817820035,1.204118683,0.031475151,2.228526843,,,,
O75636,15.30131724,15.47548473,-0.174167494,0.032054084,-2.173269854,,,,
P00751,19.12053555,19.25687973,-0.136344189,0.032262685,-2.168956741,,,,
P07358,15.00890611,15.1497034,-0.140797287,0.033007592,-2.16055221,,,,
P46939,14.97411965,15.1411616,-0.167041952,0.034019138,-2.155558464,,,,
P06396,17.66432399,17.86887409,-0.204550099,0.034398617,-2.148249603,,,,
P11413,15.88159648,16.0303082,-0.148711725,0.034667016,-2.137418779,,,,
P21810,10.05453361,9.760432774,0.294100831,0.038388575,2.099774123,,,,
P29966,12.36054777,13.45599619,-1.095448428,0.038593338,-2.263194037,,,,
P00734,18.62649035,18.75002154,-0.123531195,0.038939181,-2.089082998,,,,
P07225,15.68841766,15.80953777,-0.121120112,0.039713489,-2.079132765,,,,
P00488,13.33024774,13.4837434,-0.153495666,0.039828684,-2.093584819,,,,
P01008,19.59059898,19.75073462,-0.160135641,0.041227633,-2.068274605,,,,
Q16531,12.15895,12.27455483,-0.115604826,0.041701589,-2.077534138,,,,
P22897,13.3671412,13.69397372,-0.326832517,0.042146182,-2.061782991,,,,
P49247,10.39485571,10.85209109,-0.457235378,0.042821281,-2.079526703,,,,
Q9Y446,13.6376391,13.9172009,-0.279561806,0.043833376,-2.037829724,,,,
P50225,11.20506815,10.84961146,0.355456685,0.044335308,2.043759522,,,,
P01877,9.155852079,9.698311709,-0.54245963,0.047762301,-2.026327369,,,,
P51858,14.08796947,13.55371886,0.534250604,0.047884409,2.008518172,,,,
P11047,13.75020056,13.93822548,-0.188024917,0.048786021,-1.994697959,,,,
Q12913,13.95252847,13.45126217,0.501266304,0.048840967,2.001154988,,,,
P11142,14.65156061,15.10185332,-0.450292717,0.048960198,-1.993600714,,,,
P08185,16.69169377,16.82344107,-0.131747302,0.049295109,-1.988977991,,,,
P61769,13.4953692,13.29023726,0.205131944,0.050374447,1.979136542,,,,
Q13283,11.55399806,11.22569041,0.328307649,0.051161666,2.019541415,,,,
P14618,15.1000853,15.26638369,-0.166298389,0.051778259,-1.962539828,,,,
P05109,20.72433859,20.33954366,0.384794938,0.051939438,2.008255037,,,,
P04003,19.34421237,19.47851757,-0.1343052,0.052499154,-1.960017377,,,,
P41222,9.416185131,9.135297099,0.280888032,0.054883664,1.944836591,,,,
P24592,8.371473071,8.150112415,0.221360656,0.055027804,1.941595729,,,,
P05186,13.92128004,14.2005706,-0.279290554,0.05763798,-1.927111127,,,,
P01011,21.16204526,21.29193737,-0.129892113,0.057768395,-1.918967566,,,,
P01024,22.25236103,22.37125407,-0.118893044,0.057985215,-1.916713323,,,,
Q96PD5,16.72008246,16.83524734,-0.115164878,0.058697357,-1.912916061,,,,
P02774,20.63753352,20.74194162,-0.104408102,0.059760537,-1.902966573,,,,
P07357,15.51656759,15.63723323,-0.120665632,0.063112964,-1.87844027,,,,
P61764,13.71965701,13.45544544,0.26421157,0.063271436,1.886052747,,,,
